,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
389,CNN Breaking News,@cnnbrk,2021-02-15T21:21:28.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","House Speaker Pelosi announces plans for a ""9/11-type commission"" to look in to the January 6 attack on the Capitol
cnn.com
Pelosi announces plans for '9/11-type commission' to investigate Capitol attack
House Speaker Nancy Pelosi announced in a letter to House Democrats on Monday plans for the creation of a ""9/11-type commission"" to investigate the January 6 attack on the US Capitol.
752
1.1천
6.1천",,752,1.1천,6.1천,['https://pbs.twimg.com/card_img/1478212721749512195/vM2tcTuF?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1361425416494456835
390,CNN Breaking News,@cnnbrk,2021-02-15T18:30:41.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","A tornado watch has been issued for part of the US Gulf Coast, including southeast Alabama, southwest Georgia and the Florida Panhandle
https://cnn.it/3dgUl68
49
240
545",,49,240,545,[],https://twitter.com/cnnbrk/status/1361382439843692546
391,CNN Breaking News,@cnnbrk,2021-02-15T19:45:46.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","The winter weather has forced the largest US oil refinery, in Port Arthur, Texas, to shut down. It will reopen ""as soon as it is safe to do so.""
https://cnn.it/37ihmSi
88
289
771",,88,289,771,[],https://twitter.com/cnnbrk/status/1361401335661355008
392,CNN Breaking News,@cnnbrk,2021-02-15T18:04:21.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","The winter weather outbreak is bringing many cities in the central US — including Oklahoma City, Dallas and Kansas City, Missouri — temperatures lower than at any point since the 1980s
cnn.com
These cities are seeing their coldest temperatures in decades
The winter weather outbreak is bringing the coldest air in decades to many locations across the Central US.
94
276
795",,94,276,795,['https://pbs.twimg.com/card_img/1478227393256964096/JoKfGwzg?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1361375810658201602
393,CNN Breaking News,@cnnbrk,2021-02-15T17:01:56.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","Dallas/Fort Worth International airport has halted inbound flights and Austin-Bergstrom International has closed for the day, two of the latest in a string of airports impacted by a historic winter storm bearing down on Texas. Follow live updates: https://cnn.it/2Zjdr3c
63
314
871",,63,314,871,[],https://twitter.com/cnnbrk/status/1361360105678200832
394,CNN Breaking News,@cnnbrk,2021-02-15T21:46:47.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","A group of governors raised alarm in a letter to President Biden over confusion about the CDC's distribution of Covid vaccines and requested better coordination with the agency
https://cnn.it/3rXK9DG
70
123
774",,70,123,774,[],https://twitter.com/cnnbrk/status/1361431790779564034
395,CNN Breaking News,@cnnbrk,2021-02-15T05:29:58.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 15일","Michael McDowell won the 63rd annual Daytona 500 in Daytona Beach, Florida
cnn.com
Michael McDowell wins the 63rd annual Daytona 500 -- the first of his NASCAR career
Michael McDowell won the 63rd annual Daytona 500 early Monday in Daytona Beach, Florida.
125
90
501",,125,90,501,['https://pbs.twimg.com/card_img/1479374019128598531/7W0sFgZE?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1361185966157942787
396,CNN Breaking News,@cnnbrk,2021-02-15T22:12:02.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","A civilian contractor was killed and a US service member injured when rocket fire landed on coalition forces near Erbil International Airport in Iraq, a coalition spokesman says
cnn.com
One contractor killed and one US service member injured in rocket attack in Iraq
A civilian contractor was killed and a US service member was injured along with eight other contractors when rocket fire landed on coalition forces near Erbil International Airport in Iraq, said Col....
64
151
366",,64,151,366,['https://pbs.twimg.com/card_img/1478235690525544448/sOzevTNa?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1361438144118345734
397,CNN Breaking News,@cnnbrk,2021-02-15T19:03:26.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 16일","Social network Parler came back online Monday a month after it was suspended by Amazon Web Services and effectively driven offline
cnn.com
Parler comes back online one month after going dark
Parler, the social network favored by conservatives, came back online Monday with a redesigned website one month after it was suspended by Amazon Web Services and effectively driven offline.
112
169
324",,112,169,324,['https://pbs.twimg.com/card_img/1478833885077192713/2BjTIrHM?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1361390679948165123
398,CNN Breaking News,@cnnbrk,2021-02-16T15:05:55.000Z,"CNN Breaking News
@cnnbrk
·
2021년 2월 17일","A lawsuit accuses Trump and Giuliani of conspiring with far-right groups, citing a post-Civil War law used to fight KKK violence
cnn.com
Leading House Democrat sues Donald Trump under a post-Civil War law for conspiracy to incite US...
Former President Donald Trump and attorney Rudy Giuliani are being accused of conspiring with the far-right groups Proud Boys and Oath Keepers to incite the January 6 insurrection in a civil lawsuit...
403
918
5.7천",,403,918,5.7천,['https://pbs.twimg.com/card_img/1476705698256162822/8ET87o0w?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1361693296523886595
