,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
12,BBC Breaking News,@BBCBreaking,2021-01-04T20:08:17.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 5일","UK PM Boris Johnson announces new Covid lockdown in England, with people told to stay at home and schools shut for most pupils from tomorrow
bbc.co.uk
Covid: New lockdowns for England and Scotland ahead of 'hardest weeks'
Stay-at-home orders are issued in England and Scotland, as UK classrooms face further disruption.
580
3.9천
4천",,580,3.9천,4천,['https://pbs.twimg.com/card_img/1475805808650858505/194VjBig?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346186709453709316
13,BBC Breaking News,@BBCBreaking,2021-01-04T14:12:04.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 4일","People in Scotland ordered to stay at home until the end of January amid a fresh Covid-19 lockdown, starting from midnight
bbc.co.uk
Covid in Scotland: Scots ordered to stay at home in new lockdown
Mainland Scotland faces tougher restrictions from midnight, and schools will remain closed until February.
1.6천
8.2천
9.2천",,1.6천,8.2천,9.2천,['https://pbs.twimg.com/card_img/1476600254577491973/pGPSe9OL?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346097064896307201
14,BBC Breaking News,@BBCBreaking,2021-01-04T14:59:35.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 4일","UK PM Boris Johnson to address the nation at 8pm to outline further steps to tackle rise in coronavirus cases in England
bbc.co.uk
Covid: Boris Johnson set to announce new England lockdown
Boris Johnson will make a televised address at 20:00 GMT to outline further steps as virus cases rise.
977
4천
3.8천",,977,4천,3.8천,['https://pbs.twimg.com/card_img/1478057344139464710/z1bUz_kn?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346109023146418176
15,BBC Breaking News,@BBCBreaking,2021-01-04T11:10:26.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 4일","Wikileaks founder Julian Assange cannot be extradited from the UK to the US because of mental health concerns, court rules
bbc.co.uk
Julian Assange: UK judge blocks extradition of Wikileaks founder to US
The Wikileaks founder is wanted in America over the publication of thousands of classified documents.
332
1.3천
3.3천",,332,1.3천,3.3천,['https://pbs.twimg.com/card_img/1478117560663085069/yQk2RcyX?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346051358303154176
16,BBC Breaking News,@BBCBreaking,2021-01-04T10:36:45.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 4일","Iran says it has resumed enriching uranium to 20% purity at its Fordo plant, a significant breach of 2015 nuclear deal
bbc.co.uk
Iran resumes enriching uranium to 20% purity at Fordo facility
The country resumes enriching uranium to 20% purity in defiance of a 2015 international agreement.
260
651
1천",,260,651,1천,['https://pbs.twimg.com/card_img/1476390847793045505/U7cLZlnG?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346042878833864706
17,BBC Breaking News,@BBCBreaking,2021-01-05T16:30:07.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 6일","Number of new daily confirmed cases of coronavirus in UK tops 60,000 for first time since pandemic began - at 60,916
bbc.co.uk
Covid-19: UK daily coronavirus cases top 60,000 for first time
Roughly one in 50 people in England has got the virus, Prof Chris Whitty says.
440
1.6천
2.2천",,440,1.6천,2.2천,['https://pbs.twimg.com/card_img/1476505269932859392/jrziPtg-?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346494197063409664
18,BBC Breaking News,@BBCBreaking,2021-01-05T09:20:53.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 5일","UK businesses - in retail, hospitality and leisure - will receive new grants to help them keep afloat until Spring, chancellor Rishi Sunak says

https://bbc.in/3rT4Ilp
163
500
1.2천",,163,500,1.2천,[],https://twitter.com/BBCBreaking/status/1346386176563937280
19,BBC Breaking News,@BBCBreaking,2021-01-06T19:53:23.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","US Capitol on lockdown as Trump demonstrators swarm the building during Biden certification debate

Latest: http://bbc.in/2MHfg71
0:25
204만 조회수
BBC News (UK)
 님의
1.2천
5.5천
9.2천",,1.2천,5.5천,9.2천,[],https://twitter.com/BBCBreaking/status/1346907735376470018
20,BBC Breaking News,@BBCBreaking,2021-01-06T19:15:15.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","US Vice-President Mike Pence rejects a plea from Donald Trump to block Joe Biden's election win from being certified

Latest: https://bbc.in/2MzRhq9
296
1.5천
6천",,296,1.5천,6천,['https://pbs.twimg.com/media/ErEkuLoXMAcfJG8?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346898140927057921
21,BBC Breaking News,@BBCBreaking,2021-01-06T21:29:31.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","Democrats win control of US Senate after two improbable wins in Georgia, making it easier for new president Joe Biden to advance agenda
bbc.co.uk
Georgia Senate election: Democrats take control with Warnock and Ossoff wins
The party of President-elect Joe Biden will have the majority in both houses of the US Congress.
285
1.8천
1만",,285,1.8천,1만,['https://pbs.twimg.com/card_img/1476627562902130691/YIiqY8wf?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346931929568980992
22,BBC Breaking News,@BBCBreaking,2021-01-06T16:31:53.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","UK reports further 1,041 Covid deaths, the highest daily death toll since April, and the highest number of cases since mass testing began
bbc.co.uk
Covid-19: UK records more than 1,000 daily virus deaths
It is the highest toll recorded on one day since April, as MPs support new measures in England.
288
1천
1.3천",,288,1천,1.3천,['https://pbs.twimg.com/card_img/1477470720695451648/Fh2C_48K?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1346857029286162432
23,BBC Breaking News,@BBCBreaking,2021-01-06T19:53:23.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","US Capitol on lockdown as Trump demonstrators swarm the building during Biden certification debate

Latest: http://bbc.in/2MHfg71
BBC News (UK)
 님의
1.2천
5.5천
9.2천",,1.2천,5.5천,9.2천,['https://pbs.twimg.com/media/ErEtVJkXYAQahqV.jpg'],https://twitter.com/BBCBreaking/status/1346907735376470018
24,BBC Breaking News,@BBCBreaking,2021-01-07T08:43:55.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","US Congress formally confirms Joe Biden's victory, after armed protesters stormed the Capitol
bbc.co.uk
Capitol riots: Congress certifies Joe Biden's victory after chaotic scenes
Lawmakers confirm Joe Biden's victory hours after violent pro-Trump supporters stormed the Capitol.
320
1.6천
7.1천",,320,1.6천,7.1천,['https://pbs.twimg.com/card_img/1479036162534608898/L697TjF0?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347101648343150592
25,BBC Breaking News,@BBCBreaking,2021-01-07T21:25:13.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 8일","Boeing to pay $2.5bn to settle US criminal charges over 737 Max aircraft conspiracy - US Department of Justice
bbc.co.uk
Boeing to pay $2.5bn over 737 Max conspiracy
The firm is to pay $2.5bn to settle US criminal charges over the 737 Max aircraft conspiracy.
145
542
1.2천",,145,542,1.2천,['https://pbs.twimg.com/card_img/1479430070825472003/qvGtbsG5?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347293235903950848
26,BBC Breaking News,@BBCBreaking,2021-01-07T09:27:08.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 7일","Trump releases statement promising “orderly transition"" of presidency on 20 January, but repeats unsubstantiated claims of electoral fraud
bbc.co.uk
Trump allowed back onto Twitter
The president will be banned ""permanently"" if he breaks the platform's rules again.
795
794
3.1천",,795,794,3.1천,['https://pbs.twimg.com/card_img/1478978457681813505/kFscw1sr?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347112524597125120
27,BBC Breaking News,@BBCBreaking,2021-01-08T16:13:18.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 9일","US President Donald Trump confirms he will not be attending the inauguration of President-elect Joe Biden on 20 January https://bbc.in/3ouk0e9
1.4천
1.6천
4.3천",,1.4천,1.6천,4.3천,['https://pbs.twimg.com/media/ErOOQUTW8AE9b77?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347577126892019713
28,BBC Breaking News,@BBCBreaking,2021-01-08T23:44:41.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 9일","Twitter says it is permanently suspending Donald Trump's account 'due to the risk of further incitement of violence'
bbc.co.uk
Twitter 'permanently suspends' Trump's account
The social media giant bans the US president ""due to the risk of further incitement of violence"".
982
2.9천
1.5만",,982,2.9천,1.5만,['https://pbs.twimg.com/card_img/1477142303722594305/omyXliyz?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347690719696343042
29,BBC Breaking News,@BBCBreaking,2021-01-08T12:19:09.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 8일","Moderna vaccine becomes third Covid-19 jab to be approved in the UK, but supplies are not expected until Spring
bbc.co.uk
Moderna becomes third Covid vaccine approved in the UK
Seventeen million doses have been ordered by the UK and are expected to arrive in spring.
210
1천
3.5천",,210,1천,3.5천,['https://pbs.twimg.com/card_img/1477948231950770178/7qWB__tR?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347518202981609473
30,BBC Breaking News,@BBCBreaking,2021-01-08T13:31:49.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 8일","""Major incident"" declared in London by Mayor Sadiq Khan as Covid-19 cases continue to spread across the capital
bbc.co.uk
Covid-19: 'Major incident' declared by London Mayor Sadiq Khan
The mayor says in some parts of London 1 in 20 people has Covid-19, as he declares a ""major incident"".
194
614
983",,194,614,983,['https://pbs.twimg.com/card_img/1479659118986100740/C1nRFeY8?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347536488569987072
31,BBC Breaking News,@BBCBreaking,2021-01-08T16:19:00.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 9일","UK records highest daily number of Covid deaths since the start of the pandemic - 1,325 deaths within 28 days of a positive test
bbc.co.uk
Covid-19: UK sees highest daily toll of 1,325 deaths
A record 68,053 cases are also reported as a third vaccine is approved for use in the UK.
379
1.1천
1.4천",,379,1.1천,1.4천,['https://pbs.twimg.com/card_img/1477964244549353472/Yz_fW-VC?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347578560337342464
32,BBC Breaking News,@BBCBreaking,2021-01-09T11:11:00.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 9일","Boeing 737 airliner with more than 50 people on board goes missing after take-off in Indonesia
bbc.co.uk
Sriwijaya Air Boeing 737 passenger plane feared to have crashed in Indonesia
The passenger plane carrying 62 people is suspected to have plunged into the sea minutes after take-off.
768
6.9천
7.6천",,768,6.9천,7.6천,['https://pbs.twimg.com/card_img/1479804977576960002/NV2qJYwO?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347863439088168960
33,BBC Breaking News,@BBCBreaking,2021-01-09T15:08:12.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 10일","The Queen and Duke of Edinburgh vaccinated against Covid-19 today, Buckingham Palace says
bbc.co.uk
Covid-19: Queen and Prince Philip receive vaccinations
The vaccines were administered on Saturday by a household doctor at Windsor Castle, a royal source says.
744
2천
8.4천",,744,2천,8.4천,['https://pbs.twimg.com/card_img/1479551883148726273/H9F1LQN_?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347923133244854272
34,BBC Breaking News,@BBCBreaking,2021-01-09T16:16:48.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 10일","More than 80,000 people have died in the UK within 28 days of a positive Covid-19 test since the start of the pandemic
bbc.co.uk
Covid: UK reports more than 80,000 deaths
Another 1,035 people have died, taking the total since the start of the pandemic to 80,868.
647
1.3천
2천",,647,1.3천,2천,['https://pbs.twimg.com/card_img/1478315609721131021/Biv6ttzR?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1347940394043121665
35,BBC Breaking News,@BBCBreaking,2021-01-11T17:02:47.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 12일","Democrats introduce article of impeachment against Donald Trump, charging him with ""incitement to insurrection""

http://bbc.in/3nxSew3
500
1.6천
7.8천",,500,1.6천,7.8천,['https://pbs.twimg.com/media/Erd2WkgXcA0qM1P?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1348676745432608768
36,BBC Breaking News,@BBCBreaking,2021-01-11T15:38:07.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 12일","Khairi Saadallah handed whole-life jail term after stabbing three men to death in a Reading park in June 2020
bbc.co.uk
Reading stabbings: Khairi Saadallah jailed for park murders
Khairi Saadallah murdered three friends in a Reading park in a ""ruthless and brutal” terror attack.
129
214
1.3천",,129,214,1.3천,['https://pbs.twimg.com/card_img/1478554930684350476/kNl47x0_?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1348655438049538051
37,BBC Breaking News,@BBCBreaking,2021-01-13T21:28:31.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 14일","Donald Trump becomes first president in US history to be impeached twice, and faces trial in Senate over Capitol riots
bbc.com
Trump impeached for 'inciting' US Capitol riot in historic second charge
Donald Trump becomes the first president in US history to be charged with misconduct in office twice.
973
8.3천
2.4만",,973,8.3천,2.4만,['https://pbs.twimg.com/card_img/1478859802021347328/_rZXBZKr?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1349468392256888832
38,BBC Breaking News,@BBCBreaking,2021-01-13T16:12:29.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 14일","UK records 1,564 deaths within 28 days of a positive Covid test – the highest daily figure since the start of the pandemic
bbc.co.uk
Covid: UK reports record 1,564 daily deaths
The prime minister warns there is a ""very substantial"" risk of intensive care being ""overtopped"".
379
1.2천
1.5천",,379,1.2천,1.5천,['https://pbs.twimg.com/card_img/1478854426018287616/Xae3Xsrx?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1349388861076598786
39,BBC Breaking News,@BBCBreaking,2021-01-13T07:19:48.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 13일","The US executes the first woman in 67 years – Lisa Montgomery, who was convicted of killing a pregnant woman, died by lethal injection
bbc.co.uk
Lisa Montgomery: US executes only woman on federal death row
Lisa Montgomery, who killed a pregnant woman and took her baby, died by lethal injection in Indiana.
456
696
1.8천",,456,696,1.8천,['https://pbs.twimg.com/card_img/1478446159672733699/dCiEA6Z2?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1349254808176308224
40,BBC Breaking News,@BBCBreaking,2021-01-14T16:09:11.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 15일","Travellers banned from arriving in UK from South America and Portugal from Friday, over concerns about Brazilian Covid variant
bbc.co.uk
Covid Brazilian variant sparks South America travel ban
UK-bound arrivals from South America and Portugal will be banned from Friday over concerns about the variant.
308
1천
2천",,308,1천,2천,['https://pbs.twimg.com/card_img/1478303604217950209/KC5HCpbi?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1349750416498679810
41,BBC Breaking News,@BBCBreaking,2021-01-15T17:11:26.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 16일","UK to close all travel corridors from Monday to protect against risk of as yet unidentified new Covid strains, says PM
bbc.co.uk
Covid: UK to close all travel corridors from Monday
Prime Minister Boris Johnson says the action is needed to protect against the risk of new Covid strains.
683
3천
3.8천",,683,3천,3.8천,['https://pbs.twimg.com/card_img/1478686532965916672/HGQL7nc1?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1350128472052609026
42,BBC Breaking News,@BBCBreaking,2021-01-15T17:49:03.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 16일","More than two million people around the world have now died with Covid-19

https://bbc.in/35KI5pF
394
788
1.1천",,394,788,1.1천,[],https://twitter.com/BBCBreaking/status/1350137939662139399
43,BBC Breaking News,@BBCBreaking,2021-01-15T11:22:28.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 15일","Covid variant thought to have emerged in Brazil detected in UK and probably introduced ""some time ago"", leading scientist says
bbc.co.uk
Covid-19: Brazil virus already in UK ‘not variant of concern’, scientist says
A variant that is thought to be more infectious has not been found in the UK, scientist says.
434
1천
1.5천",,434,1천,1.5천,['https://pbs.twimg.com/card_img/1478668778263040000/M-oQjlP5?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1350040649635135488
44,BBC Breaking News,@BBCBreaking,2021-01-15T07:13:21.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 15일","The UK economy shrank by 2.6% in November as lockdown restrictions reduced economic activity, official figures show
bbc.co.uk
UK economy shrank by 2.6% in November as services suffered
Coronavirus restrictions in England affected services, with pubs and hairdressers badly hit.
155
282
836",,155,282,836,['https://pbs.twimg.com/card_img/1478861512953536518/kWuhmLZS?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1349977960388976641
